slug,label
scarlet-violet,Scarlet & Violet
legends-arceus,Legends Arceus
brilliant-diamond-shining-pearl,Brilliant Diamond & Shining Pearl
sword-shield,Sword & Shield
lets-go-pikachu-lets-go-eevee,Let’s Go Pikachu & Let’s Go Eevee
ultra-sun-ultra-moon,Ultra Sun & Ultra Moon
sun-moon,Sun & Moon
omega-ruby-alpha-sapphire,Omega Ruby & Alpha Sapphire
x-y,X & Y
black-2-white-2,Black 2 & White 2
black-white,Black & White
heartgold-soulsilver,HeartGold & SoulSilver
platinum,Platinum
diamond-pearl,Diamond & Pearl
emerald,Emerald
ruby-sapphire,Ruby & Sapphire
crystal,Crystal
gold-silver,Gold & Silver
yellow,Yellow
red-blue,Red & Blue
